Age,Sex,Province,Vehicle
41.0,หญิง,ตาก,รถยนต์
43.0,ชาย,อ่างทอง,รถจักรยานยนต์
53.0,ชาย,นครสวรรค์,รถจักรยานยนต์
31.0,ชาย,อุทัยธานี,รถจักรยานยนต์
40.0,ชาย,อุทัยธานี,รถจักรยานยนต์
16.0,ชาย,บึงกาฬ,รถจักรยานยนต์
34.0,ชาย,สงขลา,รถจักรยานยนต์
14.0,ชาย,นราธิวาส,รถจักรยานยนต์
72.0,หญิง,สกลนคร,รถจักรยานยนต์
42.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
35.0,หญิง,ขอนแก่น,รถจักรยานยนต์
52.0,หญิง,อุทัยธานี,รถจักรยานยนต์
72.0,หญิง,ลำพูน,รถจักรยานยนต์
16.0,ชาย,นราธิวาส,รถจักรยานยนต์
18.0,ชาย,สมุทรสงคราม,รถจักรยานยนต์
73.0,หญิง,สงขลา,รถจักรยานยนต์
46.0,ชาย,สงขลา,รถจักรยานยนต์
46.0,ชาย,สุรินทร์,รถจักรยานยนต์
60.0,ชาย,นราธิวาส,รถจักรยานยนต์
43.0,ชาย,ชลบุรี,รถจักรยานยนต์
70.0,หญิง,อุทัยธานี,รถจักรยานยนต์
83.0,ชาย,หนองบัวลำภู,รถจักรยานยนต์
63.0,หญิง,ลำปาง,รถจักรยานยนต์
56.0,หญิง,นครราชสีมา,รถจักรยานยนต์
15.0,ชาย,อุตรดิตถ์,รถจักรยานยนต์
13.0,ชาย,ชัยนาท,รถจักรยานยนต์
44.0,ชาย,สุรินทร์,รถยนต์
13.0,ชาย,อุตรดิตถ์,รถจักรยานยนต์
68.0,ชาย,สกลนคร,รถจักรยานยนต์
19.0,ชาย,พะเยา,รถจักรยานยนต์
56.0,ชาย,อุทัยธานี,รถจักรยานยนต์
46.0,ชาย,พัทลุง,รถจักรยานยนต์
64.0,หญิง,ลำปาง,รถจักรยานยนต์
76.0,ชาย,สุโขทัย,รถจักรยานยนต์
59.0,ชาย,ราชบุรี,รถจักรยานยนต์
58.0,ชาย,พิจิตร,รถจักรยานยนต์
55.0,หญิง,ขอนแก่น,คนเดินเท้า
23.0,หญิง,สิงห์บุรี,รถจักรยานยนต์
37.0,ชาย,สุโขทัย,รถจักรยานยนต์
65.0,ชาย,สระแก้ว,รถยนต์
19.0,ชาย,สิงห์บุรี,รถจักรยานยนต์
85.0,ชาย,อุตรดิตถ์,รถยนต์
56.0,ชาย,ขอนแก่น,รถจักรยานยนต์
17.0,หญิง,ปัตตานี,รถจักรยานยนต์
24.0,ชาย,แพร่,รถจักรยานยนต์
18.0,หญิง,ปัตตานี,รถจักรยานยนต์
43.0,หญิง,นครพนม,รถจักรยานยนต์
66.0,ชาย,เชียงราย,รถจักรยานยนต์
